id,nom_latin,nom_commun_actuel,wikipedia_trouve,titre_wikipedia,nom_commun_correct
886,Herpsilochmus stictocephalus,Grisin de Todd,oui,Grisin de Todd,
601,Microrhopias quixensis,Grisin étoilé,oui,Grisin étoilé,
858,Herpsilochmus sticturus,Grisin givré,oui,Grisin givré,
528,Cercomacroides nigrescens,Grisin noirâtre,oui,Grisin noirâtre,
604,Cercomacroides tyrannina,Grisin sombre,oui,Grisin sombre,
483,Euchrepomis spodioptila,Grisin spodioptile,oui,Grisin spodioptile,
768,Cyanerpes caeruleus,Guit-guit céruléen,oui,Guit-guit céruléen,
778,Cyanerpes cyaneus,Guit-guit saï,oui,Guit-guit saï,
603,Harpagus bidentatus,Harpage bidenté,oui,Harpage bidenté,
682,Harpia harpyja,Harpie féroce,oui,Harpie féroce,
871,Butorides striata,Héron strié,oui,Héron strié,
873,Asio clamator,Hibou strié,oui,Hibou strié,
939,Tachycineta albiventer,Hirondelle à ailes blanches,oui,Hirondelle à ailes blanches,
908,Atticora fasciata,Hirondelle à ceinture blanche,oui,Hirondelle à ceinture blanche,
660,Progne chalybea,Hirondelle chalybée,oui,Hirondelle chalybée,
548,Progne tapera,Hirondelle tapère,oui,Hirondelle tapère,
684,Opisthocomus hoazin,Hoazin,oui,Hoazin huppé,
495,Crax alector,Hocco alector,oui,Hocco alector,
938,Nyctibius leucopterus,Ibijau à ailes blanches,oui,Ibijau à ailes blanches,
710,Nyctibius aethereus,Ibijau à longue queue,oui,Ibijau à longue queue,
589,Nyctibius griseus,Ibijau gris,oui,Ibijau gris,
647,Mesembrinibis cayennensis,Ibis vert,oui,Ibis vert,
607,Iodopleura fusca,Iodopleure brun,oui,Iodopleure brun,
952,Galbula albirostris,Jacamar à bec jaune,oui,Jacamar à bec jaune,
749,Galbula dea,Jacamar à longue queue,oui,Jacamar à longue queue,
545,Galbula leucogastra,Jacamar à ventre blanc,oui,Jacamar à ventre blanc,
654,Galbula galbula,Jacamar vert,oui,Jacamar vert,
901,Jacana jacana,Jacana noir,oui,Jacana noir,
535,Volatinia jacarina,Jacarini noir,oui,Jacarini noir,
691,Herpetotheres cachinnans,Macagua rieur,oui,Macagua rieur,
922,Lepidothrix serena,Manakin à front blanc,oui,Manakin à front blanc,
932,Corapipo gutturalis,Manakin à gorge blanche,oui,Manakin à gorge blanche,
918,Pseudopipra pipra,Manakin à tête blanche,oui,Manakin à tête blanche,
630,Ceratopipra erythrocephala,Manakin à tête d'or,oui,Manakin à tête d'or,
599,Pipra aureola,Manakin auréole,oui,Manakin auréole,
578,Neopipo cinnamomea,Manakin cannelle,oui,Manakin cannelle,
910,Manacus manacus,Manakin casse-noisette,oui,Manakin casse-noisette,
884,Tyranneutes virescens,Manakin minuscule,oui,Manakin minuscule,
533,Chiroxiphia pareola,Manakin tijé,oui,Manakin tijé,
525,Anthracothorax nigricollis,Mango à cravate noire,oui,Mango à cravate noire,
655,Anthracothorax viridigula,Mango à cravate verte,oui,Mango à cravate verte,
954,Laterallus flaviventer,Marouette à sourcils blancs,oui,Marouette à sourcils blancs,
482,Mustelirallus albicollis,Marouette plombée,oui,Marouette plombée,
786,Megaceryle torquata,Martin-pêcheur à ventre roux,oui,Martin-pêcheur à ventre roux,
649,Chloroceryle inda,Martin-pêcheur bicolore,oui,Martin-pêcheur bicolore,
470,Chloroceryle amazona,Martin-pêcheur d'Amazonie,oui,Martin-pêcheur d'Amazonie,
478,Chloroceryle aenea,Martin-pêcheur nain,oui,Martin-pêcheur nain,
727,Tachornis squamata,Martinet claudia,oui,Martinet claudia,
698,Panyptila cayennensis,Martinet de Cayenne,oui,Martinet de Cayenne,
563,Chaetura chapmani,Martinet de Chapman,oui,Martinet de Chapman,
834,Chaetura meridionalis,Martinet de Sick,oui,Martinet de Sick,
936,Aeronautes montivagus,Martinet montagnard,oui,Martinet montagnard,
833,Chaetura brachyura,Martinet polioure,oui,Martinet polioure,
487,Chaetura spinicaudus,Martinet spinicaude,oui,Martinet spinicaude,
928,Turdus albicollis,Merle à col blanc,oui,Merle à col blanc,
855,Turdus nudigenis,Merle à lunettes,oui,Merle à lunettes,
582,Turdus fumigatus,Merle cacao,oui,Merle cacao,
745,Turdus leucomelas,Merle leucomèle,oui,Merle leucomèle,
584,Microbates collaris,Microbate à collier,oui,Microbate à collier,
889,Ramphocaenus melanurus,Microbate à long bec,oui,Microbate à long bec,
832,Myiornis ecaudatus,Microtyran à queue courte,oui,Microtyran à queue courte,
602,Lophotriccus vitiosus,Microtyran bifascié,oui,Microtyran bifascié,
683,Lophotriccus galeatus,Microtyran casqué,oui,Microtyran casqué,
841,Helicolestes hamatus,Milan à long bec,oui,Milan à long bec,
764,Ictinia plumbea,Milan bleuâtre,oui,Milan bleuâtre,
845,Rostrhamus sociabilis,Milan des marais,oui,Milan des marais,
892,Mimus gilvus,Moqueur des savanes,oui,Moqueur des savanes,
474,Momotus momota,Motmot houtouc,oui,Motmot houtouc,
711,Colonia colonus,Moucherolle à longs brins,oui,Moucherolle à longs brins,
923,Arundinicola leucocephala,Moucherolle à tête blanche,oui,Moucherolle à tête blanche,
905,Myiobius barbatus,Moucherolle barbichon,oui,Moucherolle barbichon,
613,Lathrotriccus euleri,Moucherolle d'Euler,oui,Moucherolle d'Euler,
543,Myiophobus fasciatus,Moucherolle fascié,oui,Moucherolle fascié,
622,Cnemotriccus fuscatus,Moucherolle fuligineux,oui,Moucherolle fuligineux,
756,Fluvicola pica,Moucherolle pie,oui,Moucherolle pie,
798,Terenotriccus erythrurus,Moucherolle rougequeue,oui,Moucherolle rougequeue,
692,Leucophaeus atricilla,Mouette atricille,oui,Mouette atricille,
921,Myrmotherula axillaris,Myrmidon à flancs blancs,oui,Myrmidon à flancs blancs,
547,Epinecrophylla gutturalis,Myrmidon à ventre brun,oui,Myrmidon à ventre brun,
675,Myrmotherula surinamensis,Myrmidon du Suriname,oui,Myrmidon du Suriname,
657,Myrmotherula menetriesii,Myrmidon gris,oui,Myrmidon gris,
713,Myrmotherula longipennis,Myrmidon longipenne,oui,Myrmidon longipenne,
802,Isleria guttata,Myrmidon moucheté,non,HTTP 404,
770,Myrmotherula brachyura,Myrmidon pygmée,oui,Myrmidon pygmée,
879,Elanoides forficatus,Naucler à queue fourchue,oui,Naucler à queue fourchue,
799,Tigrisoma lineatum,Onoré rayé,oui,Onoré rayé,
925,Euphonia chrysopasta,Organiste fardé,oui,Organiste fardé,
632,Euphonia cayennensis,Organiste nègre,oui,Organiste nègre,
900,Euphonia violacea,Organiste téité,oui,Organiste téité,
612,Icterus cayanensis,Oriole à épaulettes,oui,Oriole à épaulettes,
947,Icterus nigrogularis,Oriole jaune,oui,Oriole jaune,
704,Ortalis motmot,Ortalide motmot,oui,Ortalide motmot,
826,Oxyruncus cristatus,Oxyrhynque huppé,oui,Oxyrhynque huppé,
942,Myrmornis torquata,Palicour de Cayenne,oui,Palicour de Cayenne,
777,Deroptyus accipitrinus,Papegeai maillé,oui,Papegeai maillé,
965,Setophaga dominica,Paruline à gorge jaune,oui,Paruline à gorge jaune,
893,Setophaga pitiayumi,Paruline à joues noires,oui,Paruline à joues noires,
717,Setophaga petechia,Paruline des mangroves,oui,Paruline des mangroves,
788,Myiothlypis rivularis,Paruline des rives,oui,Paruline des rives,
730,Parkesia noveboracensis,Paruline des ruisseaux,oui,Paruline des ruisseaux,
479,Setophaga ruticilla,Paruline flamboyante,oui,Paruline flamboyante,
720,Geothlypis aequinoctialis,Paruline masquée,oui,Paruline masquée,
718,Penelope marail,Pénélope marail,oui,Pénélope marail,
539,Pionus menstruus,Perroquet à tête bleue,oui,Pione à tête bleue,
693,Ixobrychus exilis,Petit Blongios,oui,Petit Blongios,
705,Coccycua minuta,Petit Piaye,oui,Petit Piaye,
707,Crypturellus soui,Petit Tinamou,oui,Petit Tinamou,
894,Megascops choliba,Petit-duc choliba,oui,Petit-duc choliba,
881,Megascops watsonii,Petit-duc de Watson,oui,Petit-duc de Watson,
617,Megascops roraimae,Petit-duc du Roraima,oui,Megascops roraimae,
823,Lipaugus vociferans,Piauhau hurleur,oui,Piauhau hurleur,
504,Piaya melanogaster,Piaye à ventre noir,oui,Piaye à ventre noir,
867,Piaya cayana,Piaye écureuil,oui,Piaye écureuil,
967,Melanerpes cruentatus,Pic à chevron d'or,oui,Pic à chevron d'or,
779,Campephilus rubricollis,Pic à cou rouge,oui,Pic à cou rouge,
787,Celeus torquatus,Pic à cravate noire,oui,Pic à cravate noire,
594,Celeus flavus,Pic à dos crème,oui,Pic à dos crème,
966,Piculus flavigula,Pic à gorge jaune,oui,Pic à gorge jaune,
857,Colaptes punctigula,Pic à poitrine tachetée,oui,Pic à poitrine tachetée,
627,Veniliornis cassini,Pic de Cassin,oui,Pic de Cassin,
598,Campephilus melanoleucos,Pic de Malherbe,oui,Pic de Malherbe,
564,Celeus elegans,Pic mordoré,oui,Pic mordoré,
902,Celeus undatus,Pic ondé,oui,Pic ondé,
631,Colaptes rubiginosus,Pic or-olive,oui,Pic or-olive,
700,Dryocopus lineatus,Pic ouentou,oui,Pic ouentou,
708,Veniliornis passerinus,Pic passerin,oui,Pic passerin,
629,Piculus chrysochloros,Pic vert-doré,oui,Pic vert-doré,
633,Picumnus exilis,Picumne de Buffon,oui,Picumne de Buffon,
481,Picumnus minutissimus,Picumne de Cayenne,oui,Picumne de Cayenne,
909,Picumnus cirratus,Picumne frangé,oui,Picumne frangé,
755,Notharchus tectus,Piéride du chou,oui,Piéride du chou,
765,Patagioenas plumbea,Pigeon plombé,oui,Pigeon plombé,
821,Patagioenas speciosa,Pigeon ramiret,oui,Pigeon ramiret,
747,Patagioenas cayennensis,Pigeon rousset,oui,Pigeon rousset,
795,Patagioenas subvinacea,Pigeon vineux,oui,Pigeon vineux,
606,Pionus fuscus,Pione violette,oui,Pione violette,
933,Contopus albogularis,Pioui à gorge blanche,oui,Moucherolle à bavette blanche,
968,Anthus lutescens,Pipit jaunâtre,oui,Pipit jaunâtre,
944,Piprites chloris,Piprite verdin,oui,Piprite verdin,
825,Leptopogon amaurocephalus,Pipromorphe à tête brune,oui,Pipromorphe à tête brune,
721,Mionectes macconnelli,Pipromorphe de McConnell,oui,Pipromorphe de McConnell,
732,Mionectes oleagineus,Pipromorphe roussâtre,oui,Pipromorphe roussâtre,
917,Platyrinchus platyrhynchos,Platyrhynque à cimier blanc,oui,Platyrhynque à cimier blanc,
579,Platyrinchus saturatus,Platyrhynque à cimier orange,oui,Platyrhynque à cimier orange,
970,Tolmomyias assimilis,Platyrhynque à miroir,oui,Platyrhynque à miroir,
733,Tolmomyias flaviventris,Platyrhynque à poitrine jaune,oui,Platyrhynque à poitrine jaune,
811,Ramphotrigon ruficauda,Platyrhynque à queue rousse,oui,Platyrhynque à queue rousse,
628,Platyrinchus coronatus,Platyrhynque à tête d'or,oui,Platyrhynque à tête d'or,
962,Tolmomyias sulphurescens,Platyrhynque jaune-olive,oui,Platyrhynque jaune-olive,
734,Rhynchocyclus olivaceus,Platyrhynque olivâtre,oui,Platyrhynque olivâtre,
664,Tolmomyias poliocephalus,Platyrhynque poliocéphale,oui,Platyrhynque poliocéphale,
940,Charadrius wilsonia,Pluvier de Wilson,oui,Pluvier de Wilson,
824,Charadrius semipalmatus,Pluvier semipalmé,oui,Pluvier semipalmé,
476,Onychorhynchus coronatus,Porte-éventail roi,oui,Porte-éventail roi,
560,Quiscalus lugubris,Quiscale merle,oui,Quiscale merle,
741,Neocrex erythrops,Râle à bec peint,oui,Râle à bec peint,
808,Aramides axillaris,Râle à cou roux,oui,Râle à cou roux,
659,Laterallus exilis,Râle à poitrine grise,oui,Râle à poitrine grise,
810,Laterallus melanophaius,Râle brunoir,oui,Râle brunoir,
897,Amaurolimnas concolor,Râle concolore,oui,Râle concolore,
663,Aramides cajaneus,Râle de Cayenne,oui,Râle de Cayenne,
716,Rallus longirostris,Râle gris,oui,Râle gris,
815,Rufirallus viridis,Râle kiolo,oui,Râle kiolo,
498,Laterallus jamaicensis,Râle noir,oui,Râle noir,
731,Micropygia schomburgkii,Râle ocellé,oui,Râle ocellé,
